InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Amount
INV101451,53001,Candle,5,2024-04-17,4.9,C00493,Germany,24.5
INV100508,77364,Brush,5,2024-01-26,24.76,C00363,France,123.80000000000001
INV100775,55028,Towel,4,2024-05-30,20.15,C00382,United Kingdom,80.6
INV101966,47573,Shirt,5,2024-08-08,14.19,C00049,Germany,70.95
INV100034,10806,Brush,2,2024-12-06,10.9,C00277,Germany,21.8
INV100205,66638,Bag,4,2024-08-24,48.95,C00271,France,195.8
INV101104,39757,Shoe,2,2024-08-24,1.59,C00014,United Kingdom,3.18
INV101955,44636,Shirt,2,2024-08-06,30.32,C00298,Germany,60.64
INV101585,90097,Shirt,3,2024-05-30,47.44,C00492,EIRE,142.32
INV101895,58280,Shirt,4,2024-05-02,12.82,C00464,EIRE,51.28
INV101411,34262,Shirt,5,2024-05-23,17.0,C00015,France,85.0
INV101025,90435,Brush,2,2024-07-07,58.81,C00234,France,117.62
INV101021,72211,Brush,3,2024-09-11,5.77,C00063,France,17.31
INV101413,64842,Candle,4,2024-03-08,15.69,C00196,France,62.76
INV100565,66979,Towel,4,2024-04-13,13.88,C00027,Germany,55.52
INV101129,91470,Perfume,1,2024-12-01,6.98,C00471,United Kingdom,6.98
INV101795,48197,Candle,1,2024-06-07,35.14,C00093,France,35.14
INV101845,51844,Candle,2,2024-11-04,46.97,C00105,France,93.94
INV101500,74754,Shoe,1,2024-12-27,31.46,C00309,Germany,31.46
INV100702,44157,Shoe,2,2024-10-26,5.35,C00052,France,10.7
INV100401,87129,Towel,5,2024-03-30,2.81,C00319,France,14.05
INV100729,50042,Perfume,2,2024-12-22,19.6,C00457,United Kingdom,39.2
INV101579,71665,Shoe,1,2024-09-12,2.18,C00181,EIRE,2.18
INV100161,92856,Towel,5,2024-12-18,23.35,C00057,France,116.75
INV100201,37376,Towel,1,2024-08-07,16.12,C00120,Germany,16.12
INV101981,65554,Brush,2,2024-01-09,22.74,C00308,United Kingdom,45.48
INV100995,24199,Lipstick,3,2024-01-12,18.84,C00363,Germany,56.519999999999996
INV100269,91412,Brush,4,2024-11-20,11.99,C00043,United Kingdom,47.96
INV101886,60948,Perfume,1,2024-08-31,5.48,C00135,United Kingdom,5.48
INV100815,83781,Shoe,2,2024-06-30,8.3,C00373,France,16.6
INV101294,82750,Perfume,5,2024-10-10,15.87,C00426,France,79.35
INV100455,76262,Candle,1,2024-11-07,22.1,C00260,France,22.1
INV101485,56600,Candle,1,2024-04-08,31.24,C00197,EIRE,31.24
INV101750,86898,Perfume,4,2024-07-15,30.15,C00133,EIRE,120.6
INV101275,72483,Lipstick,2,2024-08-13,73.01,C00459,Germany,146.02
INV101016,28297,Lipstick,3,2024-11-28,7.73,C00255,France,23.19
INV101725,40448,Brush,5,2024-04-12,2.48,C00489,EIRE,12.4
INV100295,36172,Perfume,2,2024-04-15,9.48,C00220,France,18.96
INV101748,52874,Shoe,5,2024-12-30,28.2,C00336,EIRE,141.0
INV100719,17657,Brush,1,2024-02-27,12.53,C00041,EIRE,12.53
INV101772,94386,Bag,4,2024-03-18,35.05,C00478,United Kingdom,140.2
INV100337,35425,Lipstick,4,2024-03-15,16.94,C00388,France,67.76
INV100878,36685,Shirt,3,2024-02-11,54.13,C00255,France,162.39000000000001
INV101076,34578,Brush,4,2024-11-19,60.08,C00002,EIRE,240.32
INV100791,38831,Candle,1,2024-06-29,2.44,C00494,France,2.44
INV101945,17906,Brush,3,2024-02-02,13.19,C00195,EIRE,39.57
INV100216,71413,Perfume,2,2024-03-11,19.82,C00242,France,39.64
INV100763,64028,Shirt,4,2024-02-25,6.91,C00149,United Kingdom,27.64
INV100187,17287,Perfume,3,2024-04-14,11.45,C00198,France,34.349999999999994
INV100379,43660,Towel,1,2024-07-18,23.64,C00299,United Kingdom,23.64
INV100492,85758,Candle,5,2024-04-10,6.14,C00245,Germany,30.7
INV101064,70504,Candle,5,2024-09-12,19.43,C00338,France,97.15
INV101180,69720,Lipstick,1,2024-11-02,24.91,C00108,France,24.91
INV100014,44701,Brush,1,2024-03-14,2.9,C00453,France,2.9
INV101836,93300,Lipstick,5,2024-06-19,14.76,C00393,United Kingdom,73.8
INV100064,27674,Shirt,3,2024-05-22,7.11,C00212,France,21.330000000000002
INV101880,93560,Brush,5,2024-06-14,26.78,C00156,France,133.9
INV101862,33874,Towel,1,2024-09-17,5.2,C00026,EIRE,5.2
INV100520,53642,Perfume,4,2024-08-08,45.56,C00082,Germany,182.24
INV101367,75160,Towel,2,2024-03-23,12.28,C00083,United Kingdom,24.56
INV101152,27602,Candle,4,2024-06-30,5.41,C00131,EIRE,21.64
INV100647,98801,Shirt,4,2024-11-02,12.53,C00329,United Kingdom,50.12
INV101495,35931,Bag,1,2024-01-10,11.51,C00100,EIRE,11.51
INV101086,39192,Shirt,5,2024-01-04,12.2,C00256,Germany,61.0
INV101162,56542,Shoe,3,2024-12-16,18.62,C00479,EIRE,55.86
INV101522,52520,Shirt,4,2024-12-01,15.73,C00049,United Kingdom,62.92
INV100592,74772,Towel,5,2024-10-18,4.25,C00401,France,21.25
INV100391,68762,Shoe,3,2024-10-07,2.36,C00063,France,7.08
INV101698,60106,Shoe,4,2024-08-02,27.14,C00311,Germany,108.56
INV100418,91121,Brush,3,2024-04-07,17.41,C00407,United Kingdom,52.230000000000004
INV100288,35559,Brush,5,2024-04-10,9.89,C00290,United Kingdom,49.45
INV100378,43742,Shoe,2,2024-01-09,34.04,C00105,United Kingdom,68.08
INV101796,79669,Bag,5,2024-03-01,10.82,C00105,Germany,54.1
INV101513,90199,Brush,1,2024-11-04,32.79,C00325,France,32.79
INV100230,31754,Shirt,3,2024-05-25,8.3,C00015,EIRE,24.900000000000002
INV101017,13972,Towel,2,2024-03-03,2.51,C00175,Germany,5.02
INV100040,80831,Shirt,3,2024-04-30,54.95,C00259,EIRE,164.85000000000002
INV101051,51873,Bag,3,2024-08-13,11.04,C00211,France,33.12
INV100134,19903,Candle,4,2024-04-14,32.47,C00412,Germany,129.88
INV100200,13020,Lipstick,1,2024-09-16,7.55,C00259,France,7.55
INV101863,51755,Towel,3,2024-12-14,21.79,C00102,EIRE,65.37
INV100779,95956,Brush,5,2024-09-11,42.32,C00260,United Kingdom,211.6
INV100929,96988,Towel,5,2024-07-25,1.85,C00344,United Kingdom,9.25
INV101056,55648,Shirt,4,2024-01-28,36.51,C00159,EIRE,146.04
INV101071,19516,Lipstick,1,2024-06-18,17.94,C00045,United Kingdom,17.94
INV100502,12396,Perfume,1,2024-12-01,19.7,C00443,EIRE,19.7
INV100406,94082,Perfume,5,2024-03-16,15.81,C00301,Germany,79.05
INV101597,29129,Brush,2,2024-04-25,42.51,C00251,Germany,85.02
INV101751,11591,Bag,4,2024-03-09,1.89,C00331,Germany,7.56
INV100804,21303,Perfume,4,2024-12-19,7.05,C00165,United Kingdom,28.2
INV100098,40561,Towel,5,2024-08-21,42.71,C00193,France,213.55
INV100683,81719,Perfume,5,2024-01-01,28.91,C00009,United Kingdom,144.55
INV101895,96231,Candle,2,2024-06-15,1.36,C00401,United Kingdom,2.72
INV100725,17314,Candle,2,2024-12-17,15.56,C00374,France,31.12
INV101570,29623,Brush,1,2024-08-05,16.08,C00065,France,16.08
INV100960,77675,Candle,4,2024-09-29,11.25,C00387,France,45.0
INV101762,75082,Perfume,4,2024-09-07,8.06,C00495,France,32.24
INV100612,93624,Bag,5,2024-12-12,23.9,C00282,United Kingdom,119.5
INV101966,43130,Shoe,1,2024-12-09,5.66,C00181,EIRE,5.66
INV101485,61756,Shoe,4,2024-06-22,33.08,C00415,Germany,132.32
INV100642,36292,Brush,1,2024-06-18,33.49,C00282,EIRE,33.49
INV101792,96206,Lipstick,1,2024-09-02,11.73,C00279,United Kingdom,11.73
INV101028,79274,Shoe,5,2024-03-30,7.67,C00030,France,38.35
INV101241,12469,Shoe,1,2024-02-18,7.68,C00266,Germany,7.68
INV100502,63947,Candle,2,2024-10-20,14.17,C00328,Germany,28.34
INV100766,32534,Candle,2,2024-05-29,26.43,C00492,EIRE,52.86
INV100397,73620,Perfume,3,2024-05-11,9.89,C00217,United Kingdom,29.67
INV100870,58874,Brush,5,2024-02-28,19.83,C00320,United Kingdom,99.14999999999999
INV100794,59708,Lipstick,3,2024-11-19,10.64,C00406,United Kingdom,31.92
INV100392,84553,Brush,2,2024-07-17,8.26,C00399,Germany,16.52
INV100206,78344,Shirt,3,2024-08-02,1.5,C00379,EIRE,4.5
INV101038,59138,Towel,5,2024-02-18,1.08,C00105,Germany,5.4
INV101881,64302,Lipstick,5,2024-08-19,6.15,C00184,Germany,30.75
INV101577,57638,Lipstick,1,2024-09-03,11.43,C00330,France,11.43
INV100891,88249,Bag,4,2024-08-26,39.11,C00148,EIRE,156.44
INV101484,12719,Brush,1,2024-06-16,33.04,C00105,France,33.04
INV101714,32890,Perfume,5,2024-02-17,7.22,C00047,United Kingdom,36.1
INV101598,87236,Bag,2,2024-02-20,6.61,C00087,Germany,13.22
INV100863,46509,Lipstick,2,2024-10-25,6.16,C00309,EIRE,12.32
INV100742,52534,Lipstick,1,2024-04-07,9.29,C00437,United Kingdom,9.29
INV101264,28787,Lipstick,5,2024-08-03,14.79,C00129,EIRE,73.94999999999999
INV100563,58845,Shoe,2,2024-06-25,12.55,C00258,Germany,25.1
INV101020,67932,Brush,5,2024-03-20,5.92,C00314,EIRE,29.6
INV100095,43062,Towel,2,2024-07-03,3.8,C00147,United Kingdom,7.6
INV101923,85713,Towel,5,2024-01-27,1.25,C00446,France,6.25
INV101757,97263,Bag,3,2024-07-13,4.34,C00462,Germany,13.02
INV100484,70461,Lipstick,5,2024-08-01,25.44,C00072,France,127.2
INV101430,85418,Towel,5,2024-12-07,6.58,C00486,Germany,32.9
INV100230,76672,Candle,1,2024-04-23,13.64,C00140,United Kingdom,13.64
INV100748,44832,Brush,3,2024-08-29,18.9,C00410,Germany,56.699999999999996
INV101678,41966,Towel,4,2024-05-03,44.58,C00027,France,178.32
INV101194,82545,Perfume,1,2024-10-31,44.94,C00029,Germany,44.94
INV100540,22987,Brush,4,2024-03-16,28.39,C00271,United Kingdom,113.56
INV101059,47311,Perfume,2,2024-11-06,1.72,C00174,Germany,3.44
INV100524,41575,Towel,4,2024-11-07,18.12,C00253,France,72.48
INV101183,73852,Candle,5,2024-07-14,31.89,C00385,United Kingdom,159.45
INV101862,11007,Perfume,4,2024-12-16,1.35,C00060,France,5.4
INV101722,80981,Shoe,1,2024-02-13,16.96,C00107,Germany,16.96
INV101266,86242,Towel,1,2024-07-04,40.01,C00220,EIRE,40.01
INV101109,57517,Shoe,4,2024-12-08,13.85,C00441,France,55.4
INV101819,39257,Towel,1,2024-09-02,1.08,C00259,Germany,1.08
INV100577,97272,Shirt,1,2024-03-24,1.22,C00371,EIRE,1.22
INV100681,52207,Shirt,4,2024-07-25,11.78,C00146,EIRE,47.12
INV100556,23281,Shirt,3,2024-05-30,4.37,C00052,United Kingdom,13.11
INV101597,71246,Perfume,3,2024-06-04,22.84,C00060,EIRE,68.52
INV101976,11435,Shoe,2,2024-01-16,25.67,C00034,France,51.34
INV101012,36660,Shoe,1,2024-06-13,4.92,C00096,France,4.92
INV100645,15084,Shoe,4,2024-05-24,44.88,C00477,EIRE,179.52
INV100795,92197,Candle,1,2024-02-06,12.66,C00089,Germany,12.66
INV101051,23507,Shoe,5,2024-11-28,4.08,C00316,France,20.4
INV101643,82595,Candle,1,2024-02-14,29.9,C00410,France,29.9
INV101579,93807,Shirt,1,2024-07-24,32.21,C00231,United Kingdom,32.21
INV101363,55539,Shirt,3,2024-03-02,21.39,C00456,Germany,64.17
INV101821,17491,Perfume,4,2024-12-21,39.41,C00275,EIRE,157.64
INV101981,60192,Towel,1,2024-11-03,27.74,C00246,Germany,27.74
INV101354,90395,Shirt,3,2024-01-19,43.78,C00111,United Kingdom,131.34
INV101663,73888,Towel,2,2024-12-30,12.38,C00234,United Kingdom,24.76
INV101529,83609,Towel,3,2024-10-26,28.53,C00278,Germany,85.59
INV101371,19077,Brush,3,2024-01-07,167.01,C00477,United Kingdom,501.03
INV101496,30953,Perfume,3,2024-09-05,26.81,C00417,United Kingdom,80.42999999999999
INV101254,86919,Lipstick,1,2024-04-26,3.42,C00166,United Kingdom,3.42
INV100189,77889,Lipstick,1,2024-03-08,15.61,C00128,Germany,15.61
INV101248,33821,Bag,2,2024-02-03,18.7,C00237,United Kingdom,37.4
INV101408,47567,Brush,5,2024-07-12,4.83,C00494,EIRE,24.15
INV101400,34860,Perfume,5,2024-11-20,66.88,C00291,EIRE,334.4
INV101306,31195,Bag,5,2024-02-24,4.86,C00107,France,24.3
INV101981,87475,Bag,2,2024-09-22,4.91,C00128,EIRE,9.82
INV100632,97266,Brush,5,2024-02-11,50.34,C00195,France,251.70000000000002
INV100627,31427,Lipstick,5,2024-10-23,13.52,C00339,Germany,67.6
INV100972,37083,Perfume,3,2024-08-18,2.31,C00394,United Kingdom,6.93
INV101768,97046,Lipstick,1,2024-01-10,19.24,C00475,EIRE,19.24
INV101282,67372,Bag,1,2024-12-23,19.42,C00143,France,19.42
INV101382,54064,Perfume,3,2024-05-07,2.33,C00395,Germany,6.99
INV100709,17813,Bag,3,2024-06-27,72.89,C00111,France,218.67000000000002
INV101479,41598,Shoe,3,2024-07-11,16.71,C00090,United Kingdom,50.13
INV101434,37082,Brush,1,2024-04-01,17.41,C00251,EIRE,17.41
INV100648,39241,Towel,5,2024-08-18,15.68,C00280,Germany,78.4
INV100317,54569,Perfume,3,2024-03-18,19.87,C00333,France,59.61
INV101700,21745,Perfume,2,2024-03-25,7.14,C00224,Germany,14.28
INV101248,36029,Towel,3,2024-01-30,7.77,C00101,France,23.31
INV101842,23025,Bag,4,2024-07-31,15.32,C00132,France,61.28
INV101257,24288,Shoe,3,2024-02-18,33.87,C00013,United Kingdom,101.60999999999999
INV100683,99186,Candle,1,2024-09-21,2.02,C00457,United Kingdom,2.02
INV100663,16540,Towel,3,2024-05-24,19.5,C00441,France,58.5
INV101998,91958,Brush,4,2024-03-09,33.88,C00497,EIRE,135.52
INV101850,78878,Lipstick,2,2024-02-27,4.41,C00098,Germany,8.82
INV101397,51846,Bag,5,2024-07-03,1.3,C00120,Germany,6.5
INV101695,85932,Towel,3,2024-03-02,8.5,C00293,United Kingdom,25.5
INV101631,27482,Towel,4,2024-11-03,18.74,C00304,EIRE,74.96
INV101495,33411,Perfume,4,2024-10-22,3.98,C00199,France,15.92
INV101256,60975,Lipstick,2,2024-06-14,12.11,C00001,United Kingdom,24.22
INV101715,70545,Lipstick,1,2024-06-19,17.07,C00060,France,17.07
INV101136,88797,Brush,3,2024-03-03,19.27,C00250,France,57.81
INV101853,62307,Lipstick,4,2024-05-26,7.42,C00140,United Kingdom,29.68
INV101520,13093,Towel,2,2024-11-01,11.22,C00149,EIRE,22.44
INV100441,87258,Candle,5,2024-06-09,31.13,C00395,Germany,155.65
INV100563,32042,Shirt,4,2024-05-20,57.68,C00044,United Kingdom,230.72
INV101291,62930,Bag,2,2024-11-29,40.59,C00371,EIRE,81.18
INV101533,54413,Shirt,1,2024-04-06,17.62,C00186,France,17.62
INV101830,43756,Towel,1,2024-08-08,11.56,C00108,United Kingdom,11.56
INV101409,63268,Shirt,4,2024-02-12,9.1,C00044,Germany,36.4
INV101410,49214,Towel,4,2024-10-18,3.67,C00078,Germany,14.68
INV101136,91871,Shirt,3,2024-04-17,3.25,C00226,France,9.75
INV101636,38602,Lipstick,2,2024-09-22,24.32,C00162,United Kingdom,48.64
INV101648,63331,Shoe,4,2024-04-04,7.02,C00281,Germany,28.08
INV100951,58901,Lipstick,3,2024-09-18,6.88,C00253,United Kingdom,20.64
INV101104,73416,Lipstick,3,2024-11-08,127.34,C00132,Germany,382.02
INV100698,42196,Brush,4,2024-03-11,5.16,C00448,France,20.64
INV100112,15626,Perfume,1,2024-08-06,4.2,C00372,France,4.2
INV100001,17424,Perfume,2,2024-01-21,3.08,C00375,United Kingdom,6.16
INV100641,22857,Shirt,2,2024-04-01,18.34,C00474,EIRE,36.68
INV100219,29982,Towel,1,2024-05-06,20.77,C00144,EIRE,20.77
INV101589,86961,Brush,4,2024-03-20,10.09,C00266,France,40.36
INV100854,11980,Lipstick,2,2024-11-07,16.33,C00109,Germany,32.66
INV101759,58290,Brush,4,2024-08-25,32.06,C00194,EIRE,128.24
INV101248,36431,Shirt,4,2024-06-30,35.09,C00035,France,140.36
INV100384,94976,Perfume,3,2024-01-25,64.36,C00467,Germany,193.07999999999998
INV101426,92711,Shoe,1,2024-06-04,35.78,C00390,Germany,35.78
INV101661,36385,Bag,4,2024-01-05,17.64,C00275,EIRE,70.56
INV101153,48158,Shirt,5,2024-04-29,4.96,C00187,France,24.8
INV101076,33019,Brush,1,2024-10-03,3.1,C00437,Germany,3.1
INV101707,28639,Shoe,2,2024-01-18,2.12,C00500,Germany,4.24
INV100729,95530,Bag,3,2024-07-16,22.96,C00243,United Kingdom,68.88
INV101695,31563,Candle,2,2024-02-26,33.96,C00264,United Kingdom,67.92
INV101733,49341,Shirt,2,2024-04-02,15.21,C00462,EIRE,30.42
INV101439,15776,Shirt,1,2024-01-19,2.13,C00010,United Kingdom,2.13
INV100246,46444,Candle,2,2024-12-18,16.33,C00451,France,32.66
INV100835,78916,Candle,4,2024-07-11,55.9,C00166,EIRE,223.6
INV101462,18711,Shirt,2,2024-08-24,19.21,C00029,EIRE,38.42
INV100202,84318,Candle,3,2024-10-03,34.15,C00271,United Kingdom,102.44999999999999
INV101207,92970,Lipstick,3,2024-08-14,33.2,C00087,Germany,99.60000000000001
INV100122,95553,Bag,5,2024-08-20,54.8,C00023,France,274.0
INV100400,40707,Bag,3,2024-02-09,30.41,C00210,France,91.23
INV100766,49110,Bag,2,2024-11-18,28.54,C00046,France,57.08
INV100293,71788,Lipstick,3,2024-06-01,6.33,C00467,EIRE,18.990000000000002
INV100279,92879,Towel,1,2024-05-06,2.24,C00028,France,2.24
INV101860,48827,Candle,3,2024-08-24,15.58,C00026,Germany,46.74
INV100883,15655,Shoe,4,2024-02-24,3.66,C00266,Germany,14.64
INV101633,54859,Candle,1,2024-06-20,66.51,C00175,United Kingdom,66.51
INV100197,63625,Shirt,5,2024-04-18,7.85,C00004,France,39.25
INV100981,62098,Perfume,4,2024-12-19,39.34,C00311,EIRE,157.36
INV101930,25251,Brush,2,2024-07-02,10.81,C00322,United Kingdom,21.62
INV101534,10526,Brush,2,2024-07-16,8.81,C00067,Germany,17.62
INV100751,78760,Bag,2,2024-03-27,55.72,C00135,France,111.44
INV100143,57837,Candle,4,2024-07-19,10.03,C00055,Germany,40.12
INV100608,21536,Shoe,4,2024-12-02,10.9,C00464,United Kingdom,43.6
INV101224,38541,Shirt,4,2024-11-17,3.24,C00031,Germany,12.96
INV101147,89083,Lipstick,1,2024-10-01,23.2,C00074,France,23.2
INV100186,61027,Towel,1,2024-07-29,7.82,C00019,France,7.82
INV101349,44531,Lipstick,2,2024-04-27,18.62,C00156,United Kingdom,37.24
INV100463,18712,Shoe,3,2024-07-09,18.9,C00337,France,56.699999999999996
INV101372,75455,Shirt,2,2024-02-11,26.4,C00156,Germany,52.8
INV101794,84744,Bag,5,2024-02-11,28.35,C00147,Germany,141.75
INV100659,15109,Candle,1,2024-11-10,15.45,C00485,EIRE,15.45
INV100763,59268,Shirt,4,2024-10-02,9.04,C00087,EIRE,36.16
INV100954,64615,Brush,1,2024-11-24,37.34,C00020,EIRE,37.34
INV101955,92503,Towel,4,2024-01-17,8.42,C00269,Germany,33.68
INV100402,39759,Lipstick,5,2024-10-09,15.17,C00333,Germany,75.85
INV101369,95708,Towel,5,2024-09-14,11.26,C00043,United Kingdom,56.3
INV101986,70112,Towel,1,2024-03-03,39.63,C00395,EIRE,39.63
INV101534,36589,Shoe,4,2024-03-02,12.31,C00432,Germany,49.24
INV100146,40015,Shoe,5,2024-04-09,10.76,C00399,United Kingdom,53.8
INV101171,39009,Candle,2,2024-01-19,24.41,C00401,Germany,48.82
INV100863,93309,Shoe,2,2024-01-17,19.45,C00438,United Kingdom,38.9
INV101734,72046,Shoe,4,2024-11-20,3.27,C00306,EIRE,13.08
INV101843,36143,Shirt,1,2024-09-02,15.19,C00028,EIRE,15.19
INV100488,16154,Brush,5,2024-09-07,27.6,C00467,EIRE,138.0
INV100928,31804,Bag,1,2024-03-21,97.75,C00260,Germany,97.75
INV101959,51688,Candle,2,2024-02-08,20.84,C00022,Germany,41.68
INV101663,74288,Shirt,5,2024-02-05,10.25,C00470,United Kingdom,51.25
INV100550,61195,Bag,1,2024-07-15,6.13,C00375,France,6.13
INV100337,30581,Towel,3,2024-06-06,42.24,C00101,France,126.72
INV100871,62648,Shirt,4,2024-07-22,34.7,C00039,EIRE,138.8
INV100640,40087,Perfume,4,2024-07-14,6.33,C00290,France,25.32
INV101802,59930,Shirt,3,2024-08-03,5.48,C00353,EIRE,16.44
INV101976,42981,Shoe,2,2024-10-11,26.11,C00300,United Kingdom,52.22
INV100472,79298,Bag,5,2024-07-14,8.57,C00170,France,42.85
INV101969,56167,Candle,4,2024-11-02,8.32,C00296,France,33.28
INV100150,85304,Candle,3,2024-05-31,4.3,C00353,EIRE,12.899999999999999
INV101438,53408,Bag,3,2024-01-14,7.13,C00396,United Kingdom,21.39
INV101321,49499,Shoe,2,2024-11-20,12.16,C00130,France,24.32
INV101634,62269,Lipstick,2,2024-05-25,27.4,C00156,France,54.8
INV100262,48559,Shirt,1,2024-02-26,9.2,C00074,France,9.2
INV101787,84319,Shoe,4,2024-07-29,8.97,C00342,United Kingdom,35.88
